Job ID,Predicted Time,Actual Time,Time Difference
3543834,2018-07-10 15:57:04,None,None,
3548027,2018-07-10 11:30:01,2018-07-10 10:14:13,1:15:48,
3548061,2018-07-10 11:30:01,2018-07-10 10:24:35,1:05:26,
3543776,2018-07-10 18:00:01,None,None,
3548052,2018-07-10 11:30:01,2018-07-10 10:22:32,1:07:29,
3540439,2018-07-10 16:28:31,None,None,
3364627,2018-07-10 15:57:04,None,None,
3486787,2018-07-11 20:00:00,None,None,
3364604,2018-07-10 15:57:04,None,None,
3474308,2018-07-11 20:00:00,None,None,
3538215,2018-07-11 20:00:00,None,None,
3486847,2018-07-11 20:00:00,None,None,
3548034,2018-07-10 11:30:01,2018-07-10 10:16:22,1:13:39,
3497480,2018-07-11 20:00:00,None,None,
3539250,2018-07-11 20:00:00,None,None,
3546197,2018-07-10 11:30:01,2018-07-10 10:26:38,1:03:23,
3486789,2018-07-11 20:00:00,None,None,
3486786,2018-07-10 11:30:01,None,None,
3541998,2018-07-11 20:00:00,None,None,
3543196,2018-07-11 20:00:00,None,None,
3543925,2018-07-10 15:57:04,None,None,
3548051,2018-07-10 11:30:01,2018-07-10 10:22:32,1:07:29,
3548057,2018-07-10 11:30:01,2018-07-10 10:24:35,1:05:26,
3543749,2018-07-11 11:00:00,None,None,
3542059,2018-07-10 11:30:01,None,None,
3479381,2018-07-11 20:00:00,None,None,
3548046,2018-07-10 11:30:01,2018-07-10 10:20:29,1:09:32,
3543158,2018-07-11 20:00:00,None,None,
3435305,2018-07-11 20:00:00,None,None,
3542078,2018-07-11 20:00:00,None,None,
3541104_[2],2018-07-11 05:47:50,None,None,
3433738,2018-07-11 20:00:00,None,None,
3548036,2018-07-10 11:30:01,2018-07-10 10:16:22,1:13:39,
3543325,2018-07-11 20:00:00,None,None,
3548024,2018-07-10 11:30:01,2018-07-10 10:14:13,1:15:48,
3540259,2018-07-10 16:28:31,None,None,
3364618,2018-07-10 15:57:04,None,None,
3547774_[1-20],2018-07-10 16:32:54,None,None,
3546200,2018-07-10 11:30:01,2018-07-10 10:28:41,1:01:20,
3543777,2018-07-11 01:10:09,None,None,
3543177,2018-07-11 20:00:00,None,None,
3543163,2018-07-11 20:00:00,None,None,
3543929,2018-07-10 15:57:04,None,None,
3542844,2018-07-11 20:00:00,None,None,
3539232,2018-07-11 20:00:00,None,None,
3548143,2018-07-10 11:30:01,None,None,
3547772_[1-20],2018-07-10 16:32:54,None,None,
3540440,2018-07-10 16:28:31,None,None,
3547937,2018-07-11 20:00:00,2018-07-10 10:32:25,1 day, 9:27:35,
3546212,2018-07-10 11:30:01,None,None,
3543773,2018-07-11 06:28:24,None,None,
3535136,2018-07-10 15:57:04,2018-07-10 10:20:28,5:36:36,
3494666,2018-07-11 20:00:00,None,None,
3497332,2018-07-11 20:00:00,None,None,
3546209,2018-07-10 11:30:01,None,None,
3542846,2018-07-11 20:00:00,None,None,
3546217,2018-07-10 11:30:01,None,None,
3364624,2018-07-10 15:57:04,None,None,
3435191,2018-07-10 16:28:31,None,None,
3486826,2018-07-11 20:00:00,None,None,
3548140,2018-07-10 15:57:04,None,None,
3486785,2018-07-10 11:30:01,None,None,
3535142,2018-07-11 20:00:00,None,None,
3539233,2018-07-11 20:00:00,None,None,
3535133,2018-07-11 11:30:10,None,None,
3548062,2018-07-10 11:30:01,2018-07-10 10:24:35,1:05:26,
